iter	Passed	Remaining
0	19	1978
1	36	1768
2	51	1659
3	69	1665
4	87	1667
5	106	1666
6	124	1648
7	144	1659
8	162	1638
9	180	1627
10	195	1584
11	215	1583
12	233	1565
13	250	1539
14	270	1533
15	289	1519
16	306	1496
17	325	1480
18	341	1454
19	357	1428
20	378	1422
21	395	1402
22	410	1374
23	428	1356
24	448	1345
25	464	1322
26	482	1304
27	499	1284
28	516	1265
29	535	1248
30	552	1230
31	567	1205
32	585	1188
33	601	1166
34	616	1145
35	634	1128
36	651	1109
37	666	1087
38	685	1071
39	701	1052
40	717	1031
41	732	1012
42	750	994
43	767	977
44	784	959
45	799	938
46	813	916
47	826	895
48	845	880
49	863	863
50	878	843
51	893	824
52	909	806
53	925	788
54	943	771
55	958	752
56	973	734
57	989	716
58	1006	699
59	1024	683
60	1041	665
61	1057	648
62	1074	630
63	1090	613
64	1105	595
65	1120	577
66	1136	559
67	1153	543
68	1169	525
69	1183	507
70	1200	490
71	1214	472
72	1228	454
73	1247	438
74	1263	421
75	1279	404
76	1296	387
77	1311	369
78	1327	352
79	1343	335
80	1358	318
81	1374	301
82	1388	284
83	1405	267
84	1420	250
85	1436	233
86	1452	217
87	1467	200
88	1481	183
89	1496	166
90	1509	149
91	1525	132
92	1540	115
93	1555	99
94	1571	82
95	1587	66
96	1603	49
97	1619	33
98	1635	16
99	1650	0
